transaction_id,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,price
82953057,treasure at tampines,tampines lane,condominium,18,tampines east,tampines,jul-19,818,06 to 10,1024000
17139360,parc central residences,tampines street 86,executive condominium,18,tampines west,tampines,apr-21,990,11 to 15,1187000
22288515,martina mansions,bukit timah road,apartment,10,nassim,tanglin,jan-20,1259,01 to 05,2300000
80737365,the pier at robertson,mohamed sultan road,apartment,9,robertson quay,singapore river,jun-19,1044,06 to 10,2400000
83154310,rivercove residences,anchorvale lane,executive condominium,19,anchorvale,sengkang,oct-18,1184,16 to 20,1239100
83357871,oue twin peaks,leonie hill road,condominium,9,leonie hill,river valley,mar-17,570,21 to 25,1855800
98774323,gem residences,lorong 5 toa payoh,condominium,12,boon teck,toa payoh,jul-21,1249,06 to 10,2015000
66259560,wilshire residences,farrer road,apartment,10,tyersall,tanglin,jun-21,1270,11 to 15,3448000
25459983,rv altitude,river valley road,apartment,9,leonie hill,river valley,dec-20,603,01 to 05,1672000
90802666,parc centros,punggol central,condominium,19,matilda,punggol,jul-21,990,11 to 15,1200000
98176896,sol acres,choa chu kang grove,executive condominium,23,keat hong,choa chu kang,aug-17,495,11 to 15,402000
14988136,park colonial,woodleigh lane,condominium,13,woodleigh,toa payoh,jul-19,678,06 to 10,1355000
75020289,duo residences,fraser street,apartment,7,bugis,downtown core,apr-19,420,06 to 10,1060000
19030474,parc esta,sims avenue,apartment,14,geylang east,geylang,jun-19,926,06 to 10,1468000
90564176,gramercy park,grange road,condominium,10,chatsworth,tanglin,jul-17,2207,11 to 15,6311760
79041790,canninghill piers,clarke quay,apartment,6,clarke quay,singapore river,nov-21,538,01 to 05,1472000
77753998,jervois regency,jervois road,apartment,10,chatsworth,tanglin,sep-20,980,01 to 05,1520000
24785179,southbank,north bridge road,apartment,7,crawford,kallang,feb-20,614,16 to 20,998000
93887548,isuites @ palm,glasgow road,apartment,19,kovan,hougang,mar-17,463,01 to 05,602888
29559226,riviera residences,riviera drive,condominium,16,bedok south,bedok,feb-17,1324,01 to 05,1400000
93814079,normanton park,normanton park,apartment,5,kent ridge,queenstown,jan-21,764,06 to 10,1293376
57022907,forest woods,lorong lew lian,condominium,19,upper paya lebar,serangoon,feb-21,915,01 to 05,1450000
64266327,sengkang grand residences,compassvale bow,apartment,19,compassvale,sengkang,may-21,764,11 to 15,1350400
78386047,leedon residence,leedon heights,condominium,10,farrer court,bukit timah,may-17,4704,06 to 10,9800000
82112521,park colonial,woodleigh lane,condominium,13,woodleigh,toa payoh,may-19,-1,01 to 05,1391000
36495378,uptown @ farrer,perumal road,apartment,8,lavender,kallang,jan-21,-1,16 to 20,1900000
68697432,parc riviera,west coast vale,condominium,5,west coast,clementi,jun-21,463,11 to 15,690000
82415845,the estuary,yishun avenue 1,condominium,0,yishun south,yishun,jun-21,1453,11 to 15,1500000
37633010,dairy farm residences,dairy farm lane,apartment,23,dairy farm,bukit panjang,jun-21,624,01 to 05,1032600
74259120,treasure crest,anchorvale crescent,executive condominium,19,anchorvale,sengkang,mar-17,1249,11 to 15,894000
62152186,waterbank at dakota,dakota crescent,condominium,14,aljunied,geylang,mar-21,883,16 to 20,1372800
36059653,riverbank @ fernvale,fernvale close,condominium,28,fernvale,sengkang,oct-18,947,06 to 10,990000
76776844,15 holland hill,holland hill,apartment,10,leedon park,bukit timah,oct-20,2497,06 to 10,7568200
30966558,the seawind,lorong m telok kurau,condominium,15,frankel,bedok,apr-18,646,01 to 05,1108592
47680177,piermont grand,sumang walk,executive condominium,19,punggol town centre,punggol,feb-20,1044,01 to 05,1098800
55269834,the madeira,bukit batok street 31,condominium,23,hong kah north,bukit batok,may-17,1055,01 to 05,905000
39986014,intero,leicester road,apartment,13,potong pasir,toa payoh,may-18,1012,06 to 10,1388000
68982802,azalea park condominium,flora road,condominium,17,flora drive,pasir ris,jul-21,1507,01 to 05,1368000
32551128,one-north residences,one-north gateway,apartment,5,one north,queenstown,apr-17,980,01 to 05,1300000
62514318,riversails,upper serangoon crescent,condominium,19,hougang east,hougang,apr-18,947,11 to 15,960000
17363107,affinity at serangoon,serangoon north avenue 1,apartment,0,serangoon garden,serangoon,jun-18,904,11 to 15,1542000
38292883,parc life,sembawang crescent,executive condominium,27,sembawang central,sembawang,jan-18,1001,01 to 05,791000
98740416,parc life,sembawang crescent,executive condominium,27,sembawang central,sembawang,apr-18,1066,01 to 05,949000
31130423,the clement canopy,clementi avenue 1,apartment,5,clementi woods,clementi,sep-17,732,36 to 40,1159000
63120538,ecopolitan,punggol walk,executive condominium,19,matilda,punggol,nov-21,1098,01 to 05,1160000
55820995,monterey park condominium,west coast rise,condominium,5,west coast,clementi,apr-21,1421,06 to 10,2150000
20873444,the topiary,fernvale lane,executive condominium,28,fernvale,sengkang,sep-21,1335,16 to 20,1568800
68199234,the clement canopy,clementi avenue 1,apartment,5,clementi woods,clementi,sep-21,635,26 to 30,1050000
18780191,riverfront residences,hougang avenue 7,apartment,19,kangkar,hougang,nov-18,721,01 to 05,922000
24492511,nv residences,pasir ris grove,condominium,18,pasir ris central,pasir ris,nov-21,764,11 to 15,790000
47467696,whistler grand,west coast vale,apartment,5,west coast,clementi,nov-18,764,26 to 30,1111200
56245592,parc central residences,tampines street 86,executive condominium,18,tampines west,tampines,mar-21,1098,16 to 20,1155000
36361730,gallop green,woollerton park,condominium,10,tyersall,tanglin,may-19,4241,01 to 05,7638041
94263260,river isles,edgedale plains,condominium,19,punggol field,punggol,feb-17,1141,11 to 15,1020000
21175728,marina one residences,marina way,apartment,1,central subzone,downtown core,apr-18,1518,11 to 15,3719070
78249382,centro residences,ang mo kio avenue 8,condominium,20,ang mo kio town centre,ang mo kio,jul-19,904,26 to 30,1360000
62591321,clavon,clementi avenue 1,apartment,5,clementi woods,clementi,dec-20,764,36 to 40,1389000
24899580,fairmount condominium,eastwood road,condominium,16,bedok south,bedok,aug-17,1238,01 to 05,988888
60367977,sennett residence,pheng geck avenue,condominium,13,sennett,toa payoh,may-18,570,01 to 05,920000
81256339,pullman residences newton,dunearn road,apartment,11,moulmein,novena,sep-20,-1,01 to 05,1253000
25512206,verdale,de souza avenue,apartment,21,anak bukit,bukit timah,sep-20,1001,01 to 05,1684100
77253229,spottiswoode suites,spottiswoode park road,apartment,2,everton park,bukit merah,sep-21,1259,36 to 40,2080000
59834815,seasons view,pemimpin drive,condominium,20,marymount,bishan,jul-21,969,06 to 10,1120000
13078181,signature at yishun,yishun street 51,executive condominium,27,lower seletar,yishun,sep-17,1076,01 to 05,870705
32196329,the mayfair,jurong east street 32,condominium,22,yuhua west,jurong east,jun-19,-1,01 to 05,998000
45502199,ki residences at brookvale,brookvale drive,condominium,21,sunset way,clementi,oct-21,-1,01 to 05,1438000
72774463,a treasure trove,punggol walk,condominium,19,matilda,punggol,dec-17,1044,01 to 05,1050000
95580305,echelon,alexandra view,condominium,3,redhill,bukit merah,jun-19,861,31 to 35,1680000
35771801,the trilinq,jalan lempeng,condominium,5,faber,clementi,dec-20,936,06 to 10,1370000
73882543,the m,middle road,apartment,7,bugis,downtown core,feb-20,592,11 to 15,1470600
14495958,one-north eden,slim barracks rise,apartment,5,one north,queenstown,apr-21,1259,01 to 05,2267720
42028940,austville residences,sengkang east avenue,executive condominium,19,rivervale,sengkang,jul-21,1033,06 to 10,952000
41091929,the florence residences,hougang avenue 2,apartment,19,kovan,hougang,sep-21,-1,01 to 05,1401112
40064789,esparina residences,compassvale bow,executive condominium,19,compassvale,sengkang,apr-19,1066,01 to 05,1085000
17667862,grosvenor view,lengkong empat,condominium,14,kembangan,bedok,nov-17,1313,06 to 10,1420000
68545799,the tre ver,potong pasir avenue 1,condominium,13,potong pasir,toa payoh,apr-19,753,06 to 10,1193000
79874243,queens peak,dundee road,condominium,3,margaret drive,queenstown,jun-20,1001,36 to 40,1855000
63717170,sims edge,geylang east avenue 2,apartment,0,aljunied,geylang,apr-21,-1,06 to 10,640000
33806704,the florida,hougang avenue 7,executive condominium,19,kangkar,hougang,oct-21,1302,06 to 10,1010000
81849447,hedges park condominium,flora drive,condominium,17,flora drive,pasir ris,aug-20,484,06 to 10,548888
70903289,the tapestry,tampines street 86,condominium,18,tampines west,tampines,mar-18,603,06 to 10,848800
34059145,petain court,petain road,apartment,8,lavender,kallang,feb-21,1464,01 to 05,1408000
95918153,palm galleria,lorong k telok kurau,apartment,15,frankel,bedok,nov-19,1884,01 to 05,1600000
23018121,dover parkview,dover rise,condominium,5,dover,queenstown,sep-21,936,11 to 15,1100000
52945159,cote d'azur,marine parade road,condominium,15,marine parade,marine parade,jun-17,1281,21 to 25,1760000
74835162,120 grange,grange road,apartment,10,one tree hill,river valley,jun-18,678,11 to 15,2154000
85446956,foresque residences,petir road,condominium,23,dairy farm,bukit panjang,jun-17,732,21 to 25,860000
58844815,boulevard 88,orchard boulevard,apartment,10,tanglin,orchard,aug-20,1776,26 to 30,6682500
