transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
13685562,https://condo-sg.com/the-tapestry-9447,the tapestry,condominium,18,tampines west,tampines,apr-18,700,01 to 05,A,931500
53321107,https://condo-sg.com/the-interlace-4916,the interlace,condominium,4,depot road,bukit merah,jun-17,1044,11 to 15,A,1200000
10676043,https://condo-sg.com/d'leedon-5888,d'leedon,condominium,10,farrer court,bukit timah,aug-21,635,11 to 15,A,1100000
88341877,https://condo-sg.com/mulberry-tree-4753,mulberry tree,apartment,11,moulmein,novena,may-18,667,01 to 05,A,1100000
69569828,https://condo-sg.com/ue-square-3203,ue square,apartment,9,robertson quay,singapore river,apr-18,1206,01 to 05,A,1950000
69722581,https://condo-sg.com/the-tapestry-1402,the tapestry,condominium,18,tampines west,tampines,dec-18,689,01 to 05,A,921600
56268985,https://condo-sg.com/provence-residence-9005,provence residence,executive condominium,27,sembawang east,sembawang,may-21,926,01 to 05,A,1013000
54978889,https://condo-sg.com/twin-vew-1928,twin vew,apartment,5,west coast,clementi,may-18,904,26 to 30,A,1368000
11944148,https://condo-sg.com/onan-suites-8786,onan suites,apartment,15,geylang east,geylang,jan-21,1938,01 to 05,A,1900000
43632992,https://condo-sg.com/the-lakefront-residences-1152,the lakefront residences,condominium,22,taman jurong,jurong west,jun-17,1216,11 to 15,A,1450000
36175043,https://condo-sg.com/normanton-park-8889,normanton park,apartment,5,kent ridge,queenstown,jul-21,915,16 to 20,A,1605000
45528058,https://condo-sg.com/piermont-grand-2839,piermont grand,executive condominium,19,punggol town centre,punggol,oct-20,1507,06 to 10,A,1641870
59631833,https://condo-sg.com/regent-residences-5435,regent residences,apartment,12,bendemeer,kallang,jan-18,409,16 to 20,A,670000
27456487,https://condo-sg.com/sky-vue-6747,sky vue,condominium,20,bishan east,bishan,aug-21,678,11 to 15,A,1150000
41555664,https://condo-sg.com/riverfront-residences-7156,riverfront residences,apartment,19,kangkar,hougang,jul-18,614,16 to 20,A,852000
63370865,https://condo-sg.com/commonwealth-towers-4827,commonwealth towers,condominium,3,margaret drive,queenstown,may-19,689,21 to 25,A,1300000
20527775,https://condo-sg.com/jadescape-5029,jadescape,condominium,20,upper thomson,bishan,sep-18,646,06 to 10,A,1075000
18444981,https://condo-sg.com/northwave-2352,northwave,executive condominium,25,woodlands east,woodlands,apr-18,1001,01 to 05,A,810000
81216199,https://condo-sg.com/the-poiz-residences-6114,the poiz residences,apartment,13,potong pasir,toa payoh,mar-17,538,06 to 10,A,792000
96989108,https://condo-sg.com/botannia-6854,botannia,condominium,5,west coast,clementi,dec-20,1604,01 to 05,A,2080000
53189411,https://condo-sg.com/jadescape-4464,jadescape,condominium,20,upper thomson,bishan,apr-20,1055,16 to 20,A,1811000
63798288,https://condo-sg.com/the-florida-1991,the florida,executive condominium,19,kangkar,hougang,jan-19,1991,16 to 20,A,1360000
91805468,https://condo-sg.com/park-place-residences-at-plq-9778,park place residences at plq,apartment,14,geylang east,geylang,apr-21,646,06 to 10,A,1200000
89236248,https://condo-sg.com/the-trilinq-2568,the trilinq,condominium,5,faber,clementi,oct-17,538,16 to 20,A,858000
88652433,https://condo-sg.com/the-sunny-spring-8758,the sunny spring,apartment,14,aljunied,geylang,jun-17,1109,01 to 05,A,1070000
85430383,https://condo-sg.com/park-colonial-6599,park colonial,condominium,13,woodleigh,toa payoh,aug-18,463,06 to 10,A,845000
40577112,https://condo-sg.com/the-laurels-9670,the laurels,condominium,9,cairnhill,newton,oct-17,883,16 to 20,A,2350000
48202806,https://condo-sg.com/parc-esta-1883,parc esta,apartment,14,geylang east,geylang,jul-19,1033,06 to 10,A,1711000
84766153,https://condo-sg.com/treasure-at-tampines-1556,treasure at tampines,condominium,18,tampines east,tampines,aug-20,1012,06 to 10,A,1372000
39606130,https://condo-sg.com/avenue-south-residence-3440,avenue south residence,apartment,3,kampong tiong bahru,bukit merah,may-21,1109,46 to 50,A,2409000
26370930,https://condo-sg.com/alex-residences-5582,alex residences,apartment,3,redhill,bukit merah,sep-17,1044,36 to 40,A,2080000
63857114,https://condo-sg.com/cradels-6145,cradels,apartment,12,balestier,novena,dec-20,441,06 to 10,A,645000
43090171,https://condo-sg.com/jui-residences-8161,jui residences,apartment,12,bendemeer,kallang,may-20,657,11 to 15,A,1281280
39157353,https://condo-sg.com/the-m-4352,the m,apartment,7,bugis,downtown core,feb-20,614,06 to 10,A,1448900
41183208,https://condo-sg.com/j-gateway-3843,j gateway,condominium,22,jurong gateway,jurong east,oct-17,969,01 to 05,A,1380000
11850499,https://condo-sg.com/pullman-residences-newton-3495,pullman residences newton,apartment,11,moulmein,novena,apr-21,463,06 to 10,A,1328000
15972565,https://condo-sg.com/dairy-farm-residences-1248,dairy farm residences,apartment,23,dairy farm,bukit panjang,nov-19,1335,06 to 10,A,2005000
73831440,https://condo-sg.com/eight-courtyards-6301,eight courtyards,condominium,27,yishun west,yishun,feb-18,872,01 to 05,A,730000
