transaction_id,url,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
95103981,http://condo-sg.com/alex-residences-3570,alex residences,alexandra view,apartment,3,redhill,bukit merah,oct-21,883,01 to 05,A,1595880
69374014,http://condo-sg.com/the-rivervale-4160,the rivervale,rivervale link,executive condominium,19,rivervale,sengkang,jul-17,1313,06 to 10,A,900000
54377409,http://condo-sg.com/parc-palais-5143,parc palais,hume avenue,condominium,21,hillview,bukit batok,sep-21,1389,01 to 05,A,1810000
64749050,,hedges park condominium,flora drive,condominium,17,flora drive,pasir ris,may-19,484,01 to 05,A,565000
18136469,,kingsford waterbay,upper serangoon view,apartment,19,kangkar,hougang,may-21,678,06 to 10,A,875000
46594026,,caribbean at keppel bay,keppel bay drive,condominium,4,maritime square,bukit merah,mar-17,893,01 to 05,A,1318888
83763130,http://condo-sg.com/seaside-residences-4134,seaside residences,siglap link,apartment,15,siglap,bedok,aug-20,420,11 to 15,A,848000
24785617,http://condo-sg.com/d'leedon-9840,d'leedon,leedon heights,condominium,10,farrer court,bukit timah,jan-17,1582,16 to 20,A,2500000
89453355,http://condo-sg.com/the-garden-residences-1848,the garden residences,serangoon north view,apartment,19,serangoon garden,,dec-19,689,06 to 10,A,1089200
34820413,http://condo-sg.com/jadescape-4405,jadescape,shunfu road,condominium,20,upper thomson,bishan,sep-18,775,16 to 20,A,1368000
25356590,http://condo-sg.com/parc-esta-7975,parc esta,sims avenue,apartment,14,geylang east,geylang,dec-18,452,06 to 10,A,805000
31982699,,jadescape,shunfu road,condominium,20,upper thomson,bishan,sep-18,646,06 to 10,A,1085000
67976358,,high park residences,fernvale road,apartment,28,fernvale,sengkang,oct-20,452,06 to 10,A,615000
64385315,http://condo-sg.com/the-bayshore-5472,the bayshore,bayshore road,condominium,16,bayshore,bedok,apr-18,947,06 to 10,A,920000
71540804,http://condo-sg.com/belmond-green-1489,belmond green,balmoral road,condominium,10,nassim,tanglin,dec-21,1582,01 to 05,A,3400000
44337647,,knox view,lorong m telok kurau,apartment,15,frankel,bedok,may-20,1109,01 to 05,A,1180000
91896117,http://condo-sg.com/santa-fe-mansions-1204,santa fe mansions,margate road,apartment,15,mountbatten,marine parade,jan-20,1076,11 to 15,A,1345000
37721982,http://condo-sg.com/spottiswoode-suites-7054,spottiswoode suites,spottiswoode park road,apartment,2,everton park,bukit merah,jul-17,441,26 to 30,A,1065000
23638693,http://condo-sg.com/leonie-gardens-1971,leonie gardens,leonie hill,condominium,9,leonie hill,river valley,may-17,2540,06 to 10,A,3200000
38703425,http://condo-sg.com/greenwood-mews-5235,greenwood mews,greenwood avenue,strata terrace,11,hillcrest,bukit timah,feb-20,3100,01 to 05,A,4200000
83325940,http://condo-sg.com/regent-residences-4519,regent residences,serangoon road,apartment,12,bendemeer,kallang,apr-21,409,11 to 15,A,665000
38569439,http://condo-sg.com/parc-botannia-2034,parc botannia,fernvale street,condominium,28,fernvale,sengkang,nov-17,872,06 to 10,A,1111000
76365238,http://condo-sg.com/rio-vista-6165,rio vista,upper serangoon view,condominium,19,kangkar,hougang,apr-21,1238,06 to 10,A,992000
35139035,http://condo-sg.com/parc-rosewood-9564,parc rosewood,rosewood drive,condominium,25,woodgrove,woodlands,jan-21,527,01 to 05,A,530000
51145905,http://condo-sg.com/the-florence-residences-2739,the florence residences,hougang avenue 2,apartment,19,kovan,hougang,aug-19,667,01 to 05,A,959000
97271698,http://condo-sg.com/one-meyer-9294,one meyer,meyer place,apartment,15,mountbatten,marine parade,aug-21,614,01 to 05,A,1554000
17764227,http://condo-sg.com/the-tapestry-3813,the tapestry,tampines street 86,condominium,18,tampines west,tampines,may-18,474,11 to 15,A,724950
83429462,http://condo-sg.com/the-grange-2735,the grange,grange garden,condominium,10,one tree hill,river valley,jun-17,2282,11 to 15,A,5140000
58031505,http://condo-sg.com/the-grange-6816,the grange,grange garden,condominium,10,one tree hill,river valley,oct-21,4424,16 to 20,A,11900000
28102912,http://condo-sg.com/yew-mei-green-5598,yew mei green,choa chu kang north 6,executive condominium,23,choa chu kang north,choa chu kang,jul-19,1335,16 to 20,A,965000
40811377,http://condo-sg.com/yew-mei-green-6120,yew mei green,choa chu kang north 6,executive condominium,23,choa chu kang north,,feb-21,1292,06 to 10,A,908000
57744561,http://condo-sg.com/nuovo-7112,nuovo,ang mo kio avenue 9,executive condominium,20,yio chu kang west,ang mo kio,feb-18,1389,06 to 10,A,1250000
55543684,http://condo-sg.com/the-clement-canopy-1092,the clement canopy,clementi avenue 1,apartment,5,clementi woods,clementi,feb-17,990,26 to 30,A,1339000
44722550,http://condo-sg.com/north-park-residences-9214,north park residences,yishun central 1,apartment,27,yishun central,yishun,aug-17,732,06 to 10,A,1002600
80444058,http://condo-sg.com/orchard-scotts-9107,orchard scotts,anthony road,condominium,9,cairnhill,newton,mar-18,2174,01 to 05,A,3450000
28682524,http://condo-sg.com/the-tre-ver-4839,the tre ver,potong pasir avenue 1,condominium,13,potong pasir,toa payoh,mar-19,743,06 to 10,A,1177000
71144749,http://condo-sg.com/stratum-8604,stratum,elias road,condominium,18,pasir ris west,pasir ris,aug-18,1098,01 to 05,A,1100000
13556812,http://condo-sg.com/kent-ridge-hill-residences-7508,kent ridge hill residences,south buona vista road,apartment,5,pasir panjang 2,,sep-19,850,01 to 05,A,1385000
26666778,http://condo-sg.com/aston-mansions-6216,aston mansions,lorong 42 geylang,apartment,14,aljunied,geylang,aug-18,1141,01 to 05,A,950000
21998766,http://condo-sg.com/the-quartz-2380,the quartz,compassvale bow,condominium,19,compassvale,sengkang,feb-21,1033,11 to 15,A,1088000
77899521,http://condo-sg.com/hillview-park-4266,hillview park,hillview avenue,condominium,23,hillview,bukit batok,feb-21,1227,06 to 10,A,1440000
35360230,http://condo-sg.com/marymount-view-2016,marymount view,pemimpin drive,condominium,20,marymount,bishan,apr-19,883,01 to 05,A,1175000
25242365,http://condo-sg.com/la-casa-1473,la casa,woodlands drive 16,executive condominium,25,woodlands south,woodlands,aug-18,872,06 to 10,A,732000
16737829,http://condo-sg.com/the-woodleigh-residences-6093,the woodleigh residences,bidadari park drive,apartment,13,bidadari,toa payoh,sep-21,958,06 to 10,A,2060000
88526194,http://condo-sg.com/geylang-heritage-4262,geylang heritage,lorong 34 geylang,apartment,14,aljunied,geylang,aug-20,936,06 to 10,A,893000
18516257,http://condo-sg.com/gem-residences-6782,gem residences,lorong 5 toa payoh,condominium,12,boon teck,toa payoh,sep-17,980,01 to 05,A,1356000
50671533,http://condo-sg.com/seaside-residences-1675,seaside residences,siglap link,apartment,15,siglap,bedok,feb-18,560,01 to 05,A,982000
81493923,http://condo-sg.com/savannah-condopark-9748,savannah condopark,simei rise,condominium,18,simei,tampines,mar-19,1227,06 to 10,A,1048000
75175490,http://condo-sg.com/affinity-at-serangoon-9797,affinity at serangoon,serangoon north avenue 1,apartment,19,serangoon garden,serangoon,aug-20,1152,11 to 15,A,1638000
67562917,http://condo-sg.com/palm-gardens-5248,palm gardens,hong san walk,condominium,23,keat hong,choa chu kang,aug-20,1206,06 to 10,A,870000
20236846,http://condo-sg.com/wandervale-4721,wandervale,choa chu kang avenue 3,executive condominium,23,choa chu kang central,choa chu kang,sep-17,1087,01 to 05,A,927000
51016156,http://condo-sg.com/sky-habitat-5315,sky habitat,bishan street 15,condominium,20,bishan east,bishan,may-20,710,26 to 30,A,1080000
45550295,http://condo-sg.com/stirling-residences-9527,stirling residences,stirling road,apartment,3,mei chin,queenstown,jul-18,893,26 to 30,A,1642000
24006237,http://condo-sg.com/leville-isuites-4128,leville isuites,ceylon road,apartment,15,katong,marine parade,aug-17,1173,01 to 05,A,1490000
82950729,http://condo-sg.com/reflections-at-keppel-bay-1454,reflections at keppel bay,keppel bay view,condominium,4,maritime square,bukit merah,mar-17,883,01 to 05,A,1225000
91231583,http://condo-sg.com/commonwealth-towers-7136,commonwealth towers,commonwealth avenue,condominium,3,margaret drive,queenstown,jul-17,904,36 to 40,A,1614000
18300100,http://condo-sg.com/tresalveo-2836,tresalveo,marymount terrace,condominium,20,marymount,bishan,aug-17,1668,11 to 15,A,2320000
82097019,http://condo-sg.com/stars-of-kovan-4604,stars of kovan,upper serangoon road,apartment,19,lorong ah soo,hougang,mar-17,743,01 to 05,A,1022860
21118494,http://condo-sg.com/hillion-residences-6784,hillion residences,jelebu road,apartment,23,jelebu,bukit panjang,jan-17,474,11 to 15,A,655040
56221158,http://condo-sg.com/westwood-residences-4730,westwood residences,westwood avenue,executive condominium,22,yunnan,jurong west,mar-17,1033,11 to 15,A,784900
88574544,http://condo-sg.com/stirling-residences-1576,stirling residences,stirling road,apartment,3,mei chin,queenstown,jun-20,678,11 to 15,A,1334000
39406264,http://condo-sg.com/twin-vew-7966,twin vew,west coast vale,apartment,5,west coast,clementi,may-18,743,26 to 30,A,1129000
10286218,http://condo-sg.com/ola-1432,ola,anchorvale crescent,executive condominium,19,anchorvale,sengkang,may-21,926,01 to 05,A,952000
64702143,http://condo-sg.com/mayfair-modern-1095,mayfair modern,rifle range road,condominium,21,swiss club,bukit timah,apr-20,517,01 to 05,A,998000
91405561,http://condo-sg.com/the-addition-1890,the addition,meyappa chettiar road,apartment,13,potong pasir,toa payoh,oct-18,592,01 to 05,A,1105000
49660703,http://condo-sg.com/sixteen35-residences-2059,sixteen35 residences,lorong 35 geylang,apartment,14,aljunied,geylang,may-18,624,06 to 10,A,948000
39007740,http://condo-sg.com/ki-residences-at-brookvale-9989,ki residences at brookvale,brookvale drive,condominium,21,sunset way,clementi,dec-20,861,06 to 10,A,1567000
68668148,http://condo-sg.com/ki-residences-at-brookvale-5067,ki residences at brookvale,brookvale drive,condominium,21,sunset way,clementi,dec-20,936,06 to 10,A,1613000
82780730,http://condo-sg.com/the-bencoolen-2201,the bencoolen,bencoolen street,apartment,7,victoria,rochor,jul-21,980,16 to 20,A,1288000
61430716,http://condo-sg.com/mill-point-8519,mill point,zion close,apartment,10,chatsworth,tanglin,dec-17,527,06 to 10,A,990000
32087544,http://condo-sg.com/viz-at-holland-2339,viz at holland,queensway,condominium,10,leedon park,bukit timah,jun-17,818,06 to 10,A,1280000
97711118,http://condo-sg.com/thomson-grand-1899,thomson grand,sin ming walk,condominium,20,upper thomson,bishan,may-21,1044,16 to 20,A,1610000
20692637,http://condo-sg.com/whistler-grand-1365,whistler grand,west coast vale,apartment,5,west coast,clementi,aug-20,958,31 to 35,A,1472000
