transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
72606080.0,https://condo-sg.com/amber-park-4904,amber park,condominium,15,marine parade,marine parade,apr-21,678,16 to 20,A,1679130
62765491.0,https://condo-sg.com/braddell-view-5318,braddell view,apartment,20,toa payoh west,Toa Payoh,oct-20,1701,01 to 05,A,1255000
65584694.0,https://condo-sg.com/tangerine-grove-2635,tangerine grove,condominium,19,tai seng,hougang,nov-18,947,01 to 05,A,1130000
16401608.0,https://condo-sg.com/goldenhill-park-condominium-9616,goldenhill park condominium,condominium,20,lorong chuan,serangoon,mar-21,1313,01 to 05,A,2000000
53975895.0,https://condo-sg.com/kingsford-waterbay-1085,kingsford waterbay,apartment,19,kangkar,hougang,may-17,883,06 to 10,A,1030000
27667111.0,https://condo-sg.com/commonwealth-towers-8273,commonwealth towers,condominium,3,margaret drive,queenstown,mar-17,1076,16 to 20,A,1614600
17765402.0,https://condo-sg.com/regent-heights-8587,regent heights,condominium,23,guilin,bukit batok,mar-18,1023,16 to 20,A,850000
52631869.0,https://condo-sg.com/the-topiary-8360,the topiary,executive condominium,28,fernvale,sengkang,aug-21,1389,06 to 10,A,1460000
38153789.0,https://condo-sg.com/pollen-&-bleu-2605,pollen & bleu,condominium,10,tyersall,tanglin,apr-17,1206,06 to 10,A,2699600
49851994.0,https://condo-sg.com/hilltops-6486,hilltops,condominium,9,cairnhill,newton,mar-18,1335,06 to 10,A,4046000
23239195.0,https://condo-sg.com/whistler-grand-4551,whistler grand,apartment,5,west coast,clementi,mar-24,990,16 to 20,A,1349460
80647917.0,https://condo-sg.com/midtown-modern-8449,midtown modern,apartment,7,bugis,downtown core,mar-21,904,16 to 20,A,2423520
59767194.0,https://condo-sg.com/kentish-green-3974,kentish green,apartment,8,kampong java,kallang,nov-19,1098,01 to 05,A,990000
98830910.0,https://condo-sg.com/rivervale-crest-6060,rivervale crest,apartment,19,rivervale,sengkang,jan-21,1206,06 to 10,A,890000
66683841.0,https://condo-sg.com/lakeside-apartments-1328,lakeside apartments,apartment,22,lakeside (leisure),jurong east,dec-26,1518,06 to 10,A,1040000
61928118.0,https://condo-sg.com/canberra-residences-1807,canberra residences,condominium,27,sembawang springs,sembawang,feb-19,904,01 to 05,A,848000
97898392.0,https://condo-sg.com/northoaks-6701,northoaks,executive condominium,25,woodlands east,woodlands,jan-20,1238,11 to 15,A,820000
30266835.0,https://condo-sg.com/parc-riviera-2605,parc riviera,condominium,5,west coast,clementi,feb-25,603,11 to 15,A,747740
90121494.0,https://condo-sg.com/skyline-residences-6690,skyline residences,condominium,4,telok blangah drive,bukit merah,may-18,484,06 to 10,A,1020000
94795791.0,https://condo-sg.com/kandis-residence-2338,kandis residence,condominium,27,sembawang straits,sembawang,mar-19,775,01 to 05,A,940200
37210809.0,https://condo-sg.com/starville-2347,starville,condominium,14,kembangan,bedok,may-18,1238,01 to 05,A,1080000
39074093.0,https://condo-sg.com/avenue-south-residence-7320,avenue south residence,apartment,3,kampong tiong bahru,bukit merah,nov-20,657,21 to 25,A,1422000
56185014.0,https://condo-sg.com/stirling-residences-4982,stirling residences,apartment,3,mei chin,queenstown,may-19,624,16 to 20,A,1135000
53217981.0,https://condo-sg.com/merawoods-7242,merawoods,condominium,23,hillview,bukit batok,feb-18,1615,01 to 05,A,1500000
78223701.0,https://condo-sg.com/double-bay-residences-1084,double bay residences,condominium,18,simei,tampines,apr-17,1367,01 to 05,A,1450000
56055032.0,https://condo-sg.com/the-cascadia-1994,the cascadia,condominium,21,holland road,bukit timah,jun-18,883,06 to 10,A,1540000
50125408.0,https://condo-sg.com/one-holland-village-residences-2402,one holland village residences,apartment,10,holland drive,queenstown,jan-20,484,11 to 15,A,1332598
60320016.0,https://condo-sg.com/lake-grande-7227,lake grande,condominium,22,hong kah,jurong west,oct-17,775,06 to 10,A,1034000
35900372.0,https://condo-sg.com/eastpoint-green-9996,eastpoint green,condominium,18,simei,tampines,nov-21,969,01 to 05,A,790888
69208480.0,https://condo-sg.com/margaret-ville-1632,margaret ville,apartment,3,margaret drive,queenstown,jun-18,915,26 to 30,A,1705800
71618632.0,https://condo-sg.com/the-crest-6910,the crest,condominium,3,alexandra north,bukit merah,jul-18,1722,01 to 05,A,3737000
36361562.0,https://condo-sg.com/sol-acres-6301,sol acres,executive condominium,23,keat hong,choa chu kang,jun-21,570,11 to 15,A,600000
39256876.0,https://condo-sg.com/the-levelz-3410,the levelz,condominium,10,tyersall,tanglin,mar-19,807,11 to 15,A,1235000
37081665.0,https://condo-sg.com/avenue-south-residence-3001,avenue south residence,apartment,3,kampong tiong bahru,bukit merah,sep-19,721,31 to 35,A,1570000
34679003.0,https://condo-sg.com/duchess-crest-1885,duchess crest,condominium,10,coronation road,bukit timah,jan-18,1378,01 to 05,A,1838000
43842577.0,https://condo-sg.com/the-m-1927,the m,apartment,7,bugis,downtown core,feb-20,484,11 to 15,A,1262800
95716401.0,https://condo-sg.com/piermont-grand-5415,piermont_grand,executive condominium,19,punggol town centre,punggol,aug-20,840,06 to 10,A,977000
60178774.0,https://condo-sg.com/faber-garden-condominium-7736,faber garden condominium,condominium,20,upper thomson,bishan,mar-17,2153,01 to 05,A,2280000
46687879.0,https://condo-sg.com/waterbank-at-dakota-5106,waterbank at dakota,condominium,14,aljunied,geylang,sep-19,635,06 to 10,A,1070000
98764359.0,https://condo-sg.com/yishun-sapphire-6728,yishun sapphire,condominium,27,yishun west,yishun,feb-17,1819,01 to 05,A,980000
43178398.0,https://condo-sg.com/parc-canberra-3081,parc_canberra,executive condominium,27,sembawang east,sembawang,apr-21,947,01 to 05,A,1022000
97484675.0,https://condo-sg.com/riverfront-residences-3685,riverfront residences,apartment,19,kangkar,hougang,jul-18,463,06 to 10,A,646000
48382724.0,https://condo-sg.com/the-visionaire-4180,the visionaire,executive condominium,27,sembawang springs,sembawang,dec-17,980,01 to 05,A,802000
